outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_deprivation_score50,19,-6,.0391605273393365,.002660061,.033946905,.044374153
qoe_deprivation_score50,19,-5,.0174647766755882,.0021278383,.01329429,.021635264
qoe_deprivation_score50,19,-4,.0352313370182066,.00233059,.030663464,.03979921
qoe_deprivation_score50,19,-3,.018799504536667,.0020405466,.014800107,.022798901
qoe_deprivation_score50,19,-2,.0263528471136499,.0021174564,.022202708,.030502986
qoe_deprivation_score50,19,-1,0,0,0,0
qoe_deprivation_score50,19,0,.0133725302949358,.0019430141,.0095642926,.017180769
qoe_deprivation_score50,19,1,-.0407357354032116,.0020584231,-.04477017,-.036701299
qoe_deprivation_score50,19,2,.0039197392535188,.0025007534,-.0009816474,.0088211261
qoe_deprivation_score50,19,3,-.0231605822534816,.0030139536,-.029067824,-.017253341
qoe_deprivation_score50,19,4,-.0396914362848115,.0016417116,-.04290913,-.03647374
