rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,5.050025742456732,.072280854,4.9083552,5.1916962,.7412109375
-4,2.500638621537856,.041279513,2.4197307,2.5815465,.7412109375
-3,3.135844010507225,.057720236,3.0227122,3.2489758,.7412109375
-2,-.2527117121915615,.0530512,-.35669208,-.14873135,.7412109375
-1,0,0,0,0,.7412109375
0,-1.572837157017849,.028794302,-1.629274,-1.5164003,.7412109375
1,-1.62485227342696,.063151293,-1.7486289,-1.5010757,.7412109375
2,-2.181790069060681,.097506151,-2.3729022,-1.990678,.7412109375
3,-3.086825677650581,.17274851,-3.4254127,-2.7482386,.7412109375
4,-6.631429538930077,.065145873,-6.7591152,-6.5037436,.7412109375
5,-6.172840354907319,.11233014,-6.3930073,-5.9526734,.7412109375
