rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,2.273193683928853,.10905358,2.0594487,2.4869387,.90625
-4,1.848543928792749,.099652864,1.6532243,2.0438635,.90625
-3,1.605086378385852,.076002784,1.456121,1.7540518,.90625
-2,-.2831124452653807,.062665977,-.40593776,-.16028713,.90625
-1,0,0,0,0,.90625
0,-.4892336610204316,.029224996,-.54651463,-.43195269,.90625
1,-3.537110532432153,.051846463,-3.6387296,-3.4354916,.90625
2,-2.744376312902705,.15793751,-3.0539339,-2.4348187,.90625
3,-1.288427250783595,.17693406,-1.635218,-.9416365,.90625
4,-6.263118586042514,.11695044,-6.4923415,-6.0338955,.90625
5,-.8791126739862238,.06068363,-.9980526,-.76017278,.90625
