rel_cohort,beta,se,lb,ub,wild_pretrend_p
-5,.9939933237682556,.11906133,.76063311,1.2273536,.197265625
-4,-1.027901329548258,.088672496,-1.2016994,-.85410327,.197265625
-3,.9169042619013013,.073496267,.77285159,1.060957,.197265625
-2,.1887897334177265,.08199846,.028072746,.34950671,.197265625
-1,0,0,0,0,.197265625
0,-.5547870360961042,.068808839,-.68965238,-.41992173,.197265625
1,.6846916281801493,.044210065,.59803993,.77134335,.197265625
2,.6315299950575319,.067586705,.49906006,.76399994,.197265625
3,-2.639854244389116,.13756688,-2.9094853,-2.370223,.197265625
4,-.2859263124106222,.11742815,-.51608551,-.055767145,.197265625
5,-4.737303032927739,.05608492,-4.8472295,-4.6273766,.197265625
