outcome,enlist_age,rel_cohort,beta,se,lb,ub
entry_age,20,-5,-.1004552572507659,.007979149,-.1160941,-.084816411
entry_age,20,-4,-.0609225161454611,.0045475163,-.069835484,-.052009549
entry_age,20,-3,-.0669604581201841,.0035187425,-.073857069,-.06006385
entry_age,20,-2,-.1199496889968634,.0047405553,-.129241,-.11065837
entry_age,20,-1,0,0,0,0
entry_age,20,0,-.2439592666607001,.00569179,-.25511497,-.23280357
entry_age,20,1,-.2411699898675615,.0036295771,-.24828383,-.23405614
entry_age,20,2,-.3838615348827349,.016708205,-.41660902,-.35111406
entry_age,20,3,-.2580819925894853,.011068242,-.27977535,-.23638864
entry_age,20,4,-.3327191241630839,.0086901905,-.34975159,-.31568667
entry_age,20,5,-.3152132920056897,.011030077,-.33683184,-.29359475
