outcome,enlist_age,rel_cohort,beta,se,lb,ub
entry_age,19,-6,.1435040094112907,.013107027,.1178147,.16919331
entry_age,19,-5,.1830367505165738,.0095806075,.16425911,.2018144
entry_age,19,-4,.1769988085418382,.0083228825,.16068625,.19331136
entry_age,19,-3,.1240095776651593,.010136428,.10414255,.14387661
entry_age,19,-2,.2439592666630769,.00569179,.23280357,.25511497
entry_age,19,-1,0,0,0,0
entry_age,19,0,.0027892767944517,.0030627614,-.0032136252,.0087921787
entry_age,19,1,-.1399022682207213,.012140803,-.16369781,-.11610673
entry_age,19,2,-.0141227259274665,.0066970899,-.027248781,-.00099667069
entry_age,19,3,-.0887598575010639,.0049647903,-.09849067,-.079029046
entry_age,19,4,-.071254025343669,.0083555179,-.08763054,-.054877512
