outcome,rel_cohort,beta,cluster_se,lb,ub
industry_wage_adjusted,-5,.0036480581577628,.00080514123,.0020700104,.0052261059
industry_wage_adjusted,-4,.003804547633319,.00049063365,.0028429234,.0047661718
industry_wage_adjusted,-3,.006264569303691,.00030099176,.0056746365,.0068545025
industry_wage_adjusted,-2,.011524187814634,.00038009405,.010779217,.012269159
industry_wage_adjusted,-1,0,0,0,0
industry_wage_adjusted,0,.0135611449997847,.00054387015,.012495179,.014627111
industry_wage_adjusted,1,.0033800116095875,.00043235658,.0025326083,.0042274147
industry_wage_adjusted,2,.004898567361482,.00083058071,.0032706591,.0065264758
industry_wage_adjusted,3,.0146466008270978,.0012424734,.012211397,.017081805
industry_wage_adjusted,4,.0247922081107378,.00070057751,.023419101,.026165314
industry_wage_adjusted,5,.0075927495349007,.00092150358,.0057866359,.0093988637
